rating,text,reviewer,variant,date,original_text
2,rupanya dalam paket tidal termasuk stylus pen,Syahier,Spcae Grey EWS,7 bulan lalu,rupanya dalam paket tidal termasuk Stylus Pen
2,kalau teknologi oke tapi transparansi marketing dan after salesnya yang bermasalah for information kalau beli bonus bundle pen dan keyboardnya itu tidak termasuk gar,Iman,Grey Proteksi,11 bulan lalu,"Kalau teknologi oke, tapi transparansi marketing dan after salesnya yang bermasalah. For information kalau beli bonus bundle pen dan keyboardnya, itu tidak termasuk gar..."
2,sorry harus kasih bintang karena kurir ekspedisi pake sicepat denga kualitas pengiriman yg sangat buruk barang yg seharusnya dapat diterima on time terpaksa harus mund,A y,Space Grey,10 bulan lalu,"Sorry harus kasih bintang 2 karena kurir ekspedisi pake Sicepat denga kualitas pengiriman yg sangat buruk, barang yg seharusnya dapat diterima on-time terpaksa harus mund..."
2,gak lengkap aksesorisnya gak ada pencil gak ada mouse,N d,Violet,11 bulan lalu,"gak lengkap aksesorisnya. gak ada pencil, gak ada mouse."
3,pengemasan mengecewakan dengan kemasan yg didalamnya berisi barang yang mudah rentan rusak dan bernilai jta pengemasan seolah olah asal asalan gag tau dilayan jasa k,E o,Grey Proteksi,Lebih dari 1 tahun lalu,"pengemasan mengecewakan. dengan kemasan yg didalamnya berisi barang yang mudah rentan rusak dan bernilai 8 jta, pengemasan seolah olah asal asalan. gag tau dilayan jasa k..."
3,barang masih segel produk ori cuman kemasannya apakah itu packingan dari huawei atau di bongkar sama ekspedisi packingnya penyok rusak dan ada indikasi dibongkar dan,Aditiawarman,Violet EWS,8 bulan lalu,"barang masih segel, produk ori. cuman kemasannya apakah itu packingan dari huawei, atau di bongkar sama ekspedisi, packingnya penyok, rusak dan ada indikasi dibongkar dan..."
3,ada baik nya huawei official store perbaiki cara paking yg baik pake fragile stiker dan customer milih pengiriman reguler pake pesawat bukan dipindah kan ke trucking jg l,Bharata,Space Grey,11 bulan lalu,Ada Baik nya Huawei official Store perbaiki cara paking yg Baik pake fragile stiker dan customer milih pengiriman reguler pake pesawat bukan dipindah kan ke trucking jg l...
3,packing masih kurang untuk barang yang harganya lumayan mahal kualitas produk mantap jauh lebih baik daripada ipad pro keluaran dan ke bawah kualitas gambar jerni,Kevin,Space Grey,9 bulan lalu,Packing masih kurang untuk barang yang harganya lumayan mahal. Kualitas produk mantap. Jauh lebih baik daripada iPad pro keluaran 2023 dan ke bawah. Kualitas gambar jerni...
3,biar toko dan tokopedia tau gini loh kualitas jasa bag pengiriman barang ongkir dibayar loh bukan gratis kasihan toko nya jika mesti retur dll urus komplain bs bu,Ratno,Grey Proteksi,12 bulan lalu,Biar toko dan tokopedia tau. Gini loh kualitas jasa bag pengiriman barang. (ongkir dibayar loh bukan gratis). Kasihan toko nya jika mesti retur dll. Urus komplain bs 1 bu...
3,pengemasan wajib lebih safety lagi sekelas huawei official store packing barang harga 8juta udah seperti packing barang harga 50ribu sangat rentan saat pengiriman dus,Heri,Space Grey,Lebih dari 1 tahun lalu,"Pengemasan Wajib lebih Safety lagi, Sekelas HUAWEI Official Store, packing barang harga 8juta udah seperti packing barang harga 50ribu, Sangat rentan saat pengiriman, dus..."
3,kurir rekomendasi tapi tdk di rekomendasikan kecewa dgn kurir dan penjualnya beli barang di hari dan waktu yg hampir sama tp pake kurir beda barang yg di bawah ku,a l,Grey Proteksi,12 bulan lalu,"kurir rekomendasi tapi tdk di rekomendasikan. kecewa dgn kurir dan penjualnya. beli 2 barang di hari dan waktu yg hampir sama, tp pake 2 kurir beda. barang yg di bawah ku..."
3,barang hilang dihilangin kurir hindari penggunaan sicepat kualitas minus maaf gak bintang karena toko juga kurang baik dalam menangani komplain customer selain itu,F r,Grey Proteksi,11 bulan lalu,"Barang hilang, dihilangin kurir, hindari penggunaan SiCepat, kualitas minus, maaf gak 5 bintang karena toko juga kurang baik dalam menangani komplain customer. Selain itu..."
3,packagingnya parah amat dri pihak kurir klaim kalo packagingnya udh terbuka untungnya udh di klarifikasi lewat video sm kurirnya klo barangnya aman dan lengkap tolong di,G y,Spcae Grey EWS,Lebih dari 1 tahun lalu,"packagingnya parah amat, dri pihak kurir klaim kalo packagingnya udh terbuka untungnya udh di klarifikasi lewat video sm kurirnya klo barangnya aman dan lengkap tolong di..."
3,plus gambar tajem build quality sesuai harganya bagus bonus pencil detachable keyboard packing lumayan aman cocok bagi designer yg suka gambar tablet,Anggara,Space Grey,9 bulan lalu,"Plus - gambar tajem - build quality sesuai harganya, bagus - bonus pencil & detachable keyboard - packing lumayan aman - cocok bagi designer, yg suka gambar , tablet..."
3,packing luarnya sembarangan kurang profesional,v n,Space Grey,11 bulan lalu,packing luarnya sembarangan... kurang profesional.
4,barang masih segel tetapi kotak pengiriman penyok parah sehingga kena kotak barang jd ikut penyok semoga isinya aman,Budhi,Spcae Grey EWS,Lebih dari 1 tahun lalu,"Barang masih segel, tetapi kotak pengiriman penyok parah sehingga kena kotak barang jd ikut penyok. Semoga isinya aman"
4,pengiriman lama kerdusnya ga berbentuk tapi aman barang oke original asli no kw kw,f h,Violet,12 bulan lalu,pengiriman lama kerdusnya ga berbentuk tapi aman barang oke original asli no kw kw
4,kondisi barang saat sampai sangat lengkap baik dan aman cuman waktu po nya aja agak lama tapi syukurnya saya pilih pengiriman yg tepat barang sampai dengan cepat akh,Bung,Spcae Grey EWS,Lebih dari 1 tahun lalu,"kondisi barang saat sampai sangat lengkap, baik, dan aman. cuman waktu PO nya aja agak lama, tapi syukurnya saya pilih pengiriman yg tepat, barang sampai dengan cepat akh..."
4,barang bagus packaging jelek dus barang didalamnya sdkt penyok untungnya dus bawaan huawei tebal mohon utk penjual memperhatikan nya apalagi ini toko official,R d,Grey Proteksi,Lebih dari 1 tahun lalu,"Barang bagus, packaging jelek. Dus barang didalamnya sdkt penyok, untungnya dus bawaan huawei tebal. Mohon utk penjual memperhatikan nya apalagi ini toko official"
4,produk gaada masalah bagus cuma ngacoo banget packingnya cok kardus tipis jeleeek gak niat packing packing harga jutaan kalah sm barang 200rb an,i n,Spcae Grey EWS,Lebih dari 1 tahun lalu,"Produk gaada masalah, bagus.. Cuma ngacoo banget packingnya cok, kardus tipis, jeleeek, gak niat packing Packing harga jutaan kalah sm barang 200rb an"
4,luar biasa tidak aman packing barangnya luarbiasa juga kurirnya sicepat yg super lambat dan sampai paketnya sepenyok ini sampai segelnya terbuka untung barang di dalam,A D,Grey Proteksi,Lebih dari 1 tahun lalu,"luar biasa tidak aman packing barangnya, luarbiasa juga kurirnya sicepat yg super lambat dan sampai paketnya sepenyok ini, sampai segelnya terbuka. untung barang di dalam..."
4,barang datang lebih cepat dari yang seharusnya namun kondisi kardus terbuka lakban dan sticker tidak lengket sempurna sangat berbahaya apalagi ada tulisan huaweinya,F i,Violet Proteksi,Lebih dari 1 tahun lalu,"Barang datang lebih cepat dari yang seharusnya namun kondisi kardus terbuka, lakban dan sticker tidak lengket sempurna sangat berbahaya apalagi ada tulisan huaweinya"
4,saya kecewa dengan packing yang tidak rapat dan rapi saat paket saya terima kondisinya bungkus luarnya rusak bungkus luar yg rusak pasti membuat kawatir kondisi barang,S o,Space Grey,12 bulan lalu,"Saya kecewa dengan packing yang tidak rapat dan rapi. Saat paket saya terima, kondisinya bungkus luarnya rusak. bungkus luar yg rusak pasti membuat kawatir kondisi barang..."
4,barang bagus oke tapi untuk packing barang mohon diperhatikan kembali sekelas huawei official store menurut saya kurang sekali untuk pengemasan barangnya semoga,l e,Violet Proteksi,11 bulan lalu,"barang bagus, oke. tapi untuk packing barang mohon diperhatikan kembali. sekelas huawei & official store menurut saya kurang sekali untuk pengemasan barangnya. semoga..."
4,barang ori dan bonusnya mantap enak dipakai dan smooth layar lembut di mata dan speakernya mantab sayang utk hrg segitu kameranya hrsnya bs lbh baik lg kondisi ag,A d,Violet Proteksi,Lebih dari 1 tahun lalu,barang ori dan bonusnya mantap.. enak dipakai dan smooth.. layar lembut di mata dan speakernya mantab.. sayang utk hrg segitu kameranya hrsnya bs lbh baik lg.. kondisi ag...
4,permasalahan emang dipackingan kurang aman kalau mau beli laptop sedikit ragu,M r,Violet,12 bulan lalu,"Permasalahan emang dipackingan kurang aman, kalau mau beli laptop sedikit ragu"
4,barang sudah sampai tapi dus nya sudah bolong2 ya ngeri2 sedap euy packing nya tp kondisi kelengkapan kumplit dan tidak ada kendala,I n,Space Grey,11 bulan lalu,Barang sudah sampai. tapi dus nya sudah bolong2 ya. ngeri2 sedap euy packing nya.. tp kondisi kelengkapan kumplit dan tidak ada kendala.
4,packing mohon untuk lebih safety lagi,Azmi,Grey Proteksi,Lebih dari 1 tahun lalu,packing mohon untuk lebih safety lagi
4,dus nya tipis amat sampai disini udah penyok dan robek sampai box tablet nga juga ikutan penyok tolong lah sekelas official store huawei koq kualitas packing sampai s,H o,Grey Proteksi,Lebih dari 1 tahun lalu,Dus nya tipis amat. Sampai disini udah penyok dan robek. Sampai box tablet nga juga ikutan penyok. Tolong lah sekelas official store huawei koq kualitas packing sampai s...
4,barang sudah sampai dengan aman hanya saja ternyata tidak termasuk pen kalo mau beli pen dijual terpisah dan tidak dicantumkan di deskripsi,R t,Violet,10 bulan lalu,"Barang sudah sampai dengan aman, hanya saja ternyata tidak termasuk Pen. Kalo mau beli pen dijual terpisah, dan tidak dicantumkan di deskripsi."
5,barang sesuai pesanan dapat bonus mpencil dan keyboard sesuai di foto pengiriman cepat berfungsi dengan baik desain keren dan fitur sangat keren tab terbaik dengan h,Dimas,Violet,9 bulan lalu,"Barang sesuai pesanan, dapat bonus Mpencil dan keyboard sesuai di foto, pengiriman cepat, berfungsi dengan baik, desain keren dan fitur sangat keren, tab terbaik dengan h..."
5,barang original berfungsi baik lengkap pengiriman sesuai mate tidak ada pantulan cahaya namun paperlike feelnya agak kurang terasa,H y,Space Grey,9 bulan lalu,"barang original, berfungsi baik, lengkap, pengiriman sesuai. mate tidak ada pantulan cahaya, namun paperlike feelnya agak kurang terasa"
5,barang aman sampai tujuan masih segel dan dpt keyboard sayang ga dapat mouse dan pen,D s,Violet,4 bulan lalu,barang aman sampai tujuan. masih segel dan dpt keyboard. sayang ga dapat mouse dan pen
5,barang bagus dan tersegel fast respon tapi mengapa tak de pensil bonusnya ya mana di storenya kosong,T I,Spcae Grey EWS,7 bulan lalu,"Barang bagus dan tersegel, fast respon, tapi mengapa tak de pensil bonusnya ya. Mana di storenya kosong."
5,produk original dan semua berfungsi dengan baik po tidak sampai hari sudah terkirim mantap,Aldi,Grey Proteksi,Lebih dari 1 tahun lalu,produk original dan semua berfungsi dengan baik. PO tidak sampai 11 hari sudah terkirim. mantap
5,tablet yang bonusnya melimpah ada huawei m pencil gen ada official keyboard case dan ada huawei wireless mousenya cocok dibeli saat masa pre order adanya go paint,Heru,Grey Proteksi,Lebih dari 1 tahun lalu,"Tablet yang bonusnya melimpah, ada huawei m pencil gen 3, ada official keyboard case, dan ada huawei wireless mousenya. Cocok dibeli saat masa pre order. Adanya Go Paint..."
5,sempat kuatir dengan kondisi kardus coklat yg penyok dan kardus tabletnya yang warna putih tetapi setelah dicek kondisi tablet dalam kondisi baik mohon di perhatikan k,Richardo,Violet EWS,Lebih dari 1 tahun lalu,Sempat kuatir dengan kondisi kardus Coklat yg penyok dan Kardus Tabletnya yang warna putih. tetapi setelah dicek kondisi Tablet dalam kondisi baik. mohon di perhatikan k...
5,barang tersegel dengan rapi walaupun kardus luar penyok alhamdulillah laptop aman warna purple nya cantik banget berfungsi dengan baik pokoknya puas belanja disini ter,Luna,Violet,8 bulan lalu,barang tersegel dengan rapi walaupun kardus luar penyok. Alhamdulillah laptop aman .warna purple nya cantik banget. berfungsi dengan baik.pokoknya puas belanja disini.ter...
5,barangnya bagus seller ramah dan responsive packing aman semuanya oke,M d,Space Grey,9 bulan lalu,Barangnya Bagus Seller Ramah dan Responsive Packing Aman Semuanya Oke
5,dapat harga gooddeal pas udah ngincer lumayan lama pas tau diskonnya lumayan lngsg gas checkout so far ini tab paling value for money buat saat ini udh complete,A a,Space Grey,9 bulan lalu,"Dapat harga gooddeal pas 10.10. Udah ngincer lumayan lama, pas tau diskonnya lumayan lngsg gas checkout. So far ini tab paling value for money buat saat ini, udh complete..."
5,barang sudah sampai pengiriman cepat aman terkendali free nya hanya keyboard saja tanpa ada mouse dan mpensil musti beli terpisah sih agak repot jadinya beli,Fachry,Spcae Grey EWS,4 minggu lalu,barang sudah sampai. pengiriman cepat. aman terkendali. free nya hanya keyboard saja. tanpa ada mouse dan mpensil.. musti beli terpisah sih. agak repot jadinya.. beli...
5,seller ramah dan infrormatif juga fast respon thank you,D z,Violet,Lebih dari 1 tahun lalu,"Seller ramah dan infrormatif juga fast respon, thank you"
5,barang bagus semoga awet pemakaian nya dan tidak ada kendala ke depannya,Kristanto,Spcae Grey EWS,8 bulan lalu,"Barang Bagus, Semoga Awet pemakaian nya dan tidak ada kendala ke depannya"
5,barang sampai dengan aman selamat dan cepat sudah pasti ori dan berfungsi dengan baik kualitas layar yang nyaman di mata semoga bisa meningkatkan produktivitas,Saiful,Violet EWS,9 bulan lalu,"Barang sampai dengan aman, selamat, dan cepat. Sudah pasti ori dan berfungsi dengan baik. Kualitas layar yang nyaman di mata, semoga bisa meningkatkan produktivitas"
5,produk terjamin ori admin sangat responsif sejauh ini sudah di tes hari oke no prob namun untuk papermatte edition yg tergolong unik ini tidak dapat bonus m pen han,D y,Violet,7 bulan lalu,"produk terjamin ori, admin sangat responsif. sejauh ini sudah di tes 2 hari oke no prob.. namun untuk papermatte edition yg tergolong unik ini tidak dapat bonus m-pen han..."
